Sort,Year,Sport,Gender,Event,Athlete,Medal,City,Country,Team,Code,Birthdate
1659,1976,Ice Hockey,M,Ice Hockey,Viktor Shalimov,GOLD,Innsbruck,Austria,Soviet Union,RUS,
1660,1976,Ice Hockey,M,Ice Hockey,Aleksandr Sidelnikov,GOLD,Innsbruck,Austria,Soviet Union,RUS,
1661,1976,Ice Hockey,M,Ice Hockey,Vladimir Lutchenko,GOLD,Innsbruck,Austria,Soviet Union,RUS,
1662,1976,Ice Hockey,M,Ice Hockey,Yury Lyapkin,GOLD,Innsbruck,Austria,Soviet Union,RUS,
1663,1976,Ice Hockey,M,Ice Hockey,Aleksandr Maltsev,GOLD,Innsbruck,Austria,Soviet Union,RUS,
1664,1976,Ice Hockey,M,Ice Hockey,Boris Mikhaylov,GOLD,Innsbruck,Austria,Soviet Union,RUS,
1665,1976,Ice Hockey,M,Ice Hockey,Alexandr Gusev,GOLD,Innsbruck,Austria,Soviet Union,RUS,
1666,1976,Ice Hockey,M,Ice Hockey,Sergey Kapustin,GOLD,Innsbruck,Austria,Soviet Union,RUS,
1667,1976,Ice Hockey,M,Ice Hockey,Valery Kharlamov,GOLD,Innsbruck,Austria,Soviet Union,RUS,
1668,1976,Ice Hockey,M,Ice Hockey,Boris Aleksandrov,GOLD,Innsbruck,Austria,Soviet Union,RUS,
1669,1976,Ice Hockey,M,Ice Hockey,Sergey Babinov,GOLD,Innsbruck,Austria,Soviet Union,RUS,
1670,1976,Ice Hockey,M,Ice Hockey,Viktor Zhluktov,GOLD,Innsbruck,Austria,Soviet Union,RUS,
1671,1976,Ice Hockey,M,Ice Hockey,Vladislav Tretyak,GOLD,Innsbruck,Austria,Soviet Union,RUS,
1672,1976,Ice Hockey,M,Ice Hockey,Gennady Tsygankov,GOLD,Innsbruck,Austria,Soviet Union,RUS,
1673,1976,Ice Hockey,M,Ice Hockey,Valery Vasilyev,GOLD,Innsbruck,Austria,Soviet Union,RUS,
1674,1976,Ice Hockey,M,Ice Hockey,Aleksandr Yakushev,GOLD,Innsbruck,Austria,Soviet Union,RUS,
1675,1976,Ice Hockey,M,Ice Hockey,Josef Augusta,SILVER,Innsbruck,Austria,Czechoslovakia,CZE,
1676,1976,Ice Hockey,M,Ice Hockey,Jirí Bubla,SILVER,Innsbruck,Austria,Czechoslovakia,CZE,
1677,1976,Ice Hockey,M,Ice Hockey,Milan Chalupa,SILVER,Innsbruck,Austria,Czechoslovakia,CZE,
1678,1976,Ice Hockey,M,Ice Hockey,Jirí Crha,SILVER,Innsbruck,Austria,Czechoslovakia,CZE,
1679,1976,Ice Hockey,M,Ice Hockey,Miroslav Dvorák,SILVER,Innsbruck,Austria,Czechoslovakia,CZE,
1680,1976,Ice Hockey,M,Ice Hockey,Bohuslav Ebermann,SILVER,Innsbruck,Austria,Czechoslovakia,CZE,
1681,1976,Ice Hockey,M,Ice Hockey,Ivan Hlinka,SILVER,Innsbruck,Austria,Czechoslovakia,CZE,
1682,1976,Ice Hockey,M,Ice Hockey,Jirí Holecek,SILVER,Innsbruck,Austria,Czechoslovakia,CZE,
1683,1976,Ice Hockey,M,Ice Hockey,Jirí Holík,SILVER,Innsbruck,Austria,Czechoslovakia,CZE,
1684,1976,Ice Hockey,M,Ice Hockey,Milan Kajkl,SILVER,Innsbruck,Austria,Czechoslovakia,CZE,
1685,1976,Ice Hockey,M,Ice Hockey,Oldrich Machac,SILVER,Innsbruck,Austria,Czechoslovakia,CZE,
1686,1976,Ice Hockey,M,Ice Hockey,Vladimír Martinec,SILVER,Innsbruck,Austria,Czechoslovakia,CZE,
1687,1976,Ice Hockey,M,Ice Hockey,Eduard Novák,SILVER,Innsbruck,Austria,Czechoslovakia,CZE,
1688,1976,Ice Hockey,M,Ice Hockey,Jirí Novák,SILVER,Innsbruck,Austria,Czechoslovakia,CZE,
1689,1976,Ice Hockey,M,Ice Hockey,Milan Novy,SILVER,Innsbruck,Austria,Czechoslovakia,CZE,
1690,1976,Ice Hockey,M,Ice Hockey,Frantisek Pospísil,SILVER,Innsbruck,Austria,Czechoslovakia,CZE,
1691,1976,Ice Hockey,M,Ice Hockey,Jaroslav Pouzar,SILVER,Innsbruck,Austria,Czechoslovakia,CZE,
1692,1976,Ice Hockey,M,Ice Hockey,Bohuslav Stastny,SILVER,Innsbruck,Austria,Czechoslovakia,CZE,
1693,1976,Ice Hockey,M,Ice Hockey,Rudolf Thanner,BRONZE,Innsbruck,Austria,West Germany,DEU,
1694,1976,Ice Hockey,M,Ice Hockey,Josef Völk,BRONZE,Innsbruck,Austria,West Germany,DEU,
1695,1976,Ice Hockey,M,Ice Hockey,Ferenc Vozar,BRONZE,Innsbruck,Austria,West Germany,DEU,
1696,1976,Ice Hockey,M,Ice Hockey,Erich Weißhaupt,BRONZE,Innsbruck,Austria,West Germany,DEU,
1697,1976,Ice Hockey,M,Ice Hockey,Wolfgang Boos,BRONZE,Innsbruck,Austria,West Germany,DEU,
1698,1976,Ice Hockey,M,Ice Hockey,Klaus Auhuber,BRONZE,Innsbruck,Austria,West Germany,DEU,
1699,1976,Ice Hockey,M,Ice Hockey,Ignaz Berndaner,BRONZE,Innsbruck,Austria,West Germany,DEU,
1700,1976,Ice Hockey,M,Ice Hockey,Lorenz Funk,BRONZE,Innsbruck,Austria,West Germany,DEU,
1701,1976,Ice Hockey,M,Ice Hockey,Rainer Philipp,BRONZE,Innsbruck,Austria,West Germany,DEU,
1702,1976,Ice Hockey,M,Ice Hockey,Franz Reindl,BRONZE,Innsbruck,Austria,West Germany,DEU,
1703,1976,Ice Hockey,M,Ice Hockey,Alois Schloder,BRONZE,Innsbruck,Austria,West Germany,DEU,
1704,1976,Ice Hockey,M,Ice Hockey,Martin Hinterstocker,BRONZE,Innsbruck,Austria,West Germany,DEU,
1705,1976,Ice Hockey,M,Ice Hockey,Toni Kehle,BRONZE,Innsbruck,Austria,West Germany,DEU,
1706,1976,Ice Hockey,M,Ice Hockey,Udo Kießling,BRONZE,Innsbruck,Austria,West Germany,DEU,
1707,1976,Ice Hockey,M,Ice Hockey,Walter Köberle,BRONZE,Innsbruck,Austria,West Germany,DEU,
1708,1976,Ice Hockey,M,Ice Hockey,Ernst Köpf,BRONZE,Innsbruck,Austria,West Germany,DEU,
1709,1976,Ice Hockey,M,Ice Hockey,Erich Kühnhackl,BRONZE,Innsbruck,Austria,West Germany,DEU,
1710,1976,Ice Hockey,M,Ice Hockey,Stefan Metz,BRONZE,Innsbruck,Austria,West Germany,DEU,
1711,1976,Luge,M,Singles,Detlef Günther,GOLD,Innsbruck,Austria,East Germany,DEU,
1712,1976,Luge,M,Singles,Josef Fendt,SILVER,Innsbruck,Austria,West Germany,DEU,
1713,1976,Luge,M,Singles,Hans Rinn,BRONZE,Innsbruck,Austria,East Germany,DEU,
1714,1976,Luge,F,Singles,Margit Schumann,GOLD,Innsbruck,Austria,East Germany,DEU,
1715,1976,Luge,F,Singles,Ute Rührold,SILVER,Innsbruck,Austria,East Germany,DEU,
1716,1976,Luge,F,Singles,Elisabeth Demleitner,BRONZE,Innsbruck,Austria,West Germany,DEU,
1717,1976,Luge,M,Doubles,Hans Rinn,GOLD,Innsbruck,Austria,East Germany,DEU,
1718,1976,Luge,M,Doubles,Norbert Hahn,GOLD,Innsbruck,Austria,East Germany,DEU,
1719,1976,Luge,M,Doubles,Balthasar Schwarm,SILVER,Innsbruck,Austria,West Germany,DEU,
1720,1976,Luge,M,Doubles,Hans Brandner,SILVER,Innsbruck,Austria,West Germany,DEU,
1721,1976,Luge,M,Doubles,Franz Schachner,BRONZE,Innsbruck,Austria,Austria,AUT,
1722,1976,Luge,M,Doubles,Rudolf Schmid,BRONZE,Innsbruck,Austria,Austria,AUT,
1723,1976,Nordic Combined,M,Individual (15km+Jump),Ulrich Wehling,GOLD,Innsbruck,Austria,East Germany,DEU,
1724,1976,Nordic Combined,M,Individual (15km+Jump),Urban Hettich,SILVER,Innsbruck,Austria,West Germany,DEU,
1725,1976,Nordic Combined,M,Individual (15km+Jump),Konrad Winkler,BRONZE,Innsbruck,Austria,East Germany,DEU,
1726,1976,Ski Jumping,M,Large Hill,Karl Schnabl,GOLD,Innsbruck,Austria,Austria,AUT,
1727,1976,Ski Jumping,M,Large Hill,Toni Innauer,SILVER,Innsbruck,Austria,Austria,AUT,
1728,1976,Ski Jumping,M,Large Hill,Henry Glaß,BRONZE,Innsbruck,Austria,East Germany,DEU,
1729,1976,Ski Jumping,M,Normal Hill,Hans-Georg Aschenbach,GOLD,Innsbruck,Austria,East Germany,DEU,
1730,1976,Ski Jumping,M,Normal Hill,Jochen Danneberg,SILVER,Innsbruck,Austria,East Germany,DEU,
1731,1976,Ski Jumping,M,Normal Hill,Karl Schnabl,BRONZE,Innsbruck,Austria,Austria,AUT,
1732,1976,Speed Skating,M,500m,Yevgeny Kulikov,GOLD,Innsbruck,Austria,Soviet Union,RUS,
1733,1976,Speed Skating,M,500m,Valery Muratov,SILVER,Innsbruck,Austria,Soviet Union,RUS,
1734,1976,Speed Skating,M,500m,Daniel Immerfall,BRONZE,Innsbruck,Austria,United States,USA,
1735,1976,Speed Skating,F,500m,Sheila Young,GOLD,Innsbruck,Austria,United States,USA,
1736,1976,Speed Skating,F,500m,Cathy Priestner,SILVER,Innsbruck,Austria,Canada,CAN,
1737,1976,Speed Skating,F,500m,Tatyana Averina,BRONZE,Innsbruck,Austria,Soviet Union,RUS,
1738,1976,Speed Skating,M,1000m,Peter Mueller,GOLD,Innsbruck,Austria,United States,USA,
1739,1976,Speed Skating,M,1000m,Jørn Didriksen,SILVER,Innsbruck,Austria,Norway,NOR,
1740,1976,Speed Skating,M,1000m,Valery Muratov,BRONZE,Innsbruck,Austria,Soviet Union,RUS,
1741,1976,Speed Skating,F,1000m,Tatyana Averina,GOLD,Innsbruck,Austria,Soviet Union,RUS,
1742,1976,Speed Skating,F,1000m,Leah Poulos-Mueller,SILVER,Innsbruck,Austria,United States,USA,
1743,1976,Speed Skating,F,1000m,Sheila Young,BRONZE,Innsbruck,Austria,United States,USA,
1744,1976,Speed Skating,M,1500m,Jan Egil Storholt,GOLD,Innsbruck,Austria,Norway,NOR,
1745,1976,Speed Skating,M,1500m,Yuri Kondakov,SILVER,Innsbruck,Austria,Soviet Union,RUS,
1746,1976,Speed Skating,M,1500m,Hans van Helden,BRONZE,Innsbruck,Austria,Netherlands,NLD,
1747,1976,Speed Skating,F,1500m,Galina Stepanskaya,GOLD,Innsbruck,Austria,Soviet Union,RUS,
1748,1976,Speed Skating,F,1500m,Sheila Young,SILVER,Innsbruck,Austria,United States,USA,
1749,1976,Speed Skating,F,1500m,Tatyana Averina,BRONZE,Innsbruck,Austria,Soviet Union,RUS,
1750,1976,Speed Skating,F,3000m,Tatyana Averina,GOLD,Innsbruck,Austria,Soviet Union,RUS,
1751,1976,Speed Skating,F,3000m,Andrea Schöne,SILVER,Innsbruck,Austria,East Germany,DEU,
1752,1976,Speed Skating,F,3000m,Lisbeth Korsmo-Berg,BRONZE,Innsbruck,Austria,Norway,NOR,
1753,1976,Speed Skating,M,5000m,Sten Stensen,GOLD,Innsbruck,Austria,Norway,NOR,
1754,1976,Speed Skating,M,5000m,Piet Kleine,SILVER,Innsbruck,Austria,Netherlands,NLD,
1755,1976,Speed Skating,M,5000m,Hans van Helden,BRONZE,Innsbruck,Austria,Netherlands,NLD,
1756,1976,Speed Skating,M,10000m,Piet Kleine,GOLD,Innsbruck,Austria,Netherlands,NLD,
1757,1976,Speed Skating,M,10000m,Sten Stensen,SILVER,Innsbruck,Austria,Norway,NOR,
1758,1976,Speed Skating,M,10000m,Hans van Helden,BRONZE,Innsbruck,Austria,Netherlands,NLD,
1759,1980,Alpine Skiing,M,Downhill,Leonhard Stock,GOLD,Lake Placid,United States,Austria,AUT,
1760,1980,Alpine Skiing,M,Downhill,Peter Wirnsberger,SILVER,Lake Placid,United States,Austria,AUT,
1761,1980,Alpine Skiing,M,Downhill,Steve Podborski,BRONZE,Lake Placid,United States,Canada,CAN,
1762,1980,Alpine Skiing,F,Downhill,Annemarie Moser-Pröll,GOLD,Lake Placid,United States,Austria,AUT,
1763,1980,Alpine Skiing,F,Downhill,Hanni Wenzel,SILVER,Lake Placid,United States,Liechtenstein,LIE,
1764,1980,Alpine Skiing,F,Downhill,Marie-Thérès Nadig,BRONZE,Lake Placid,United States,Switzerland,CHE,
1765,1980,Alpine Skiing,M,Giant Slalom,Ingemar Stenmark,GOLD,Lake Placid,United States,Sweden,SWE,
1766,1980,Alpine Skiing,M,Giant Slalom,Andreas Wenzel,SILVER,Lake Placid,United States,Liechtenstein,LIE,
1767,1980,Alpine Skiing,M,Giant Slalom,Hans Enn,BRONZE,Lake Placid,United States,Austria,AUT,
1768,1980,Alpine Skiing,F,Giant Slalom,Hanni Wenzel,GOLD,Lake Placid,United States,Liechtenstein,LIE,
1769,1980,Alpine Skiing,F,Giant Slalom,Irene Epple,SILVER,Lake Placid,United States,West Germany,DEU,
1770,1980,Alpine Skiing,F,Giant Slalom,Perrine Pelen,BRONZE,Lake Placid,United States,France,FRA,
1771,1980,Alpine Skiing,M,Slalom,Ingemar Stenmark,GOLD,Lake Placid,United States,Sweden,SWE,
1772,1980,Alpine Skiing,M,Slalom,Phil Mahre,SILVER,Lake Placid,United States,United States,USA,
1773,1980,Alpine Skiing,M,Slalom,Jacques Lüthy,BRONZE,Lake Placid,United States,Switzerland,CHE,
1774,1980,Alpine Skiing,F,Slalom,Hanni Wenzel,GOLD,Lake Placid,United States,Liechtenstein,LIE,
1775,1980,Alpine Skiing,F,Slalom,Christa Güthlein-Kinshofer,SILVER,Lake Placid,United States,West Germany,DEU,
1776,1980,Alpine Skiing,F,Slalom,Erika Hess,BRONZE,Lake Placid,United States,Switzerland,CHE,
1777,1980,Biathlon,M,10km Biathlon,Frank Ullrich,GOLD,Lake Placid,United States,East Germany,DEU,
1778,1980,Biathlon,M,10km Biathlon,Vladimir Alikin,SILVER,Lake Placid,United States,Soviet Union,RUS,
1779,1980,Biathlon,M,10km Biathlon,Anatoly Alyabyev,BRONZE,Lake Placid,United States,Soviet Union,RUS,
1780,1980,Biathlon,M,20km Individual,Anatoly Alyabyev,GOLD,Lake Placid,United States,Soviet Union,RUS,
1781,1980,Biathlon,M,20km Individual,Frank Ullrich,SILVER,Lake Placid,United States,East Germany,DEU,
1782,1980,Biathlon,M,20km Individual,Eberhard Rösch,BRONZE,Lake Placid,United States,East Germany,DEU,
1783,1980,Biathlon,M,4x7.5km Relay,Anatoly Alyabyev,GOLD,Lake Placid,United States,Soviet Union,RUS,
1784,1980,Biathlon,M,4x7.5km Relay,Vladimir Alikin,GOLD,Lake Placid,United States,Soviet Union,RUS,
1785,1980,Biathlon,M,4x7.5km Relay,Vladimir Barnashov,GOLD,Lake Placid,United States,Soviet Union,RUS,
1786,1980,Biathlon,M,4x7.5km Relay,Aleksandr Tikhonov,GOLD,Lake Placid,United States,Soviet Union,RUS,
1787,1980,Biathlon,M,4x7.5km Relay,Eberhard Rösch,SILVER,Lake Placid,United States,East Germany,DEU,
1788,1980,Biathlon,M,4x7.5km Relay,Frank Ullrich,SILVER,Lake Placid,United States,East Germany,DEU,
1789,1980,Biathlon,M,4x7.5km Relay,Klaus Siebert,SILVER,Lake Placid,United States,East Germany,DEU,
1790,1980,Biathlon,M,4x7.5km Relay,Matthias Jung,SILVER,Lake Placid,United States,East Germany,DEU,
1791,1980,Biathlon,M,4x7.5km Relay,Hans Estner,BRONZE,Lake Placid,United States,West Germany,DEU,
1792,1980,Biathlon,M,4x7.5km Relay,Peter Angerer,BRONZE,Lake Placid,United States,West Germany,DEU,
1793,1980,Biathlon,M,4x7.5km Relay,Franz Bernreiter,BRONZE,Lake Placid,United States,West Germany,DEU,
1794,1980,Biathlon,M,4x7.5km Relay,Gerd Winkler,BRONZE,Lake Placid,United States,West Germany,DEU,
1795,1980,Bobsleigh,M,2-Man Bobsled,Josef Benz,GOLD,Lake Placid,United States,Switzerland,CHE,
1796,1980,Bobsleigh,M,2-Man Bobsled,Erich Schärer,GOLD,Lake Placid,United States,Switzerland,CHE,
1797,1980,Bobsleigh,M,2-Man Bobsled,Hans-Jürgen Gerhardt,SILVER,Lake Placid,United States,East Germany,DEU,
1798,1980,Bobsleigh,M,2-Man Bobsled,Bernhard Germeshausen,SILVER,Lake Placid,United States,East Germany,DEU,
1799,1980,Bobsleigh,M,2-Man Bobsled,Bogdan Musiol,BRONZE,Lake Placid,United States,East Germany,DEU,
1800,1980,Bobsleigh,M,2-Man Bobsled,Meinhard Nehmer,BRONZE,Lake Placid,United States,East Germany,DEU,
1801,1980,Bobsleigh,M,4-Man Bobsled,Bogdan Musiol,GOLD,Lake Placid,United States,East Germany,DEU,
1802,1980,Bobsleigh,M,4-Man Bobsled,Hans-Jürgen Gerhardt,GOLD,Lake Placid,United States,East Germany,DEU,
1803,1980,Bobsleigh,M,4-Man Bobsled,Bernhard Germeshausen,GOLD,Lake Placid,United States,East Germany,DEU,
1804,1980,Bobsleigh,M,4-Man Bobsled,Meinhard Nehmer,GOLD,Lake Placid,United States,East Germany,DEU,
1805,1980,Bobsleigh,M,4-Man Bobsled,Erich Schärer,SILVER,Lake Placid,United States,Switzerland,CHE,
1806,1980,Bobsleigh,M,4-Man Bobsled,Rudolf Marti,SILVER,Lake Placid,United States,Switzerland,CHE,
1807,1980,Bobsleigh,M,4-Man Bobsled,Ulrich Bächli,SILVER,Lake Placid,United States,Switzerland,CHE,
1808,1980,Bobsleigh,M,4-Man Bobsled,Josef Benz,SILVER,Lake Placid,United States,Switzerland,CHE,
1809,1980,Bobsleigh,M,4-Man Bobsled,Detlef Richter,BRONZE,Lake Placid,United States,East Germany,DEU,
1810,1980,Bobsleigh,M,4-Man Bobsled,Horst Schönau,BRONZE,Lake Placid,United States,East Germany,DEU,
1811,1980,Bobsleigh,M,4-Man Bobsled,Andreas Kirchner,BRONZE,Lake Placid,United States,East Germany,DEU,
1812,1980,Bobsleigh,M,4-Man Bobsled,Roland Wetzig,BRONZE,Lake Placid,United States,East Germany,DEU,
1813,1980,Cross-country skiing,F,5km,Raïsa Smetanina,GOLD,Lake Placid,United States,Soviet Union,RUS,
1814,1980,Cross-country skiing,F,5km,Hilkka Riihivuori-Kuntola,SILVER,Lake Placid,United States,Finland,FIN,
1815,1980,Cross-country skiing,F,5km,Kvetoslava Jeriová,BRONZE,Lake Placid,United States,Czechoslovakia,CZE,
1816,1980,Cross-country skiing,F,10km,Barbara Petzold,GOLD,Lake Placid,United States,East Germany,DEU,
1817,1980,Cross-country skiing,F,10km,Hilkka Riihivuori-Kuntola,SILVER,Lake Placid,United States,Finland,FIN,
1818,1980,Cross-country skiing,F,10km,Helena Takalo,BRONZE,Lake Placid,United States,Finland,FIN,
1819,1980,Cross-country skiing,M,15km,Thomas Wassberg,GOLD,Lake Placid,United States,Sweden,SWE,
1820,1980,Cross-country skiing,M,15km,Juha Mieto,SILVER,Lake Placid,United States,Finland,FIN,
1821,1980,Cross-country skiing,M,15km,Ove Robert Aunli,BRONZE,Lake Placid,United States,Norway,NOR,
1822,1980,Cross-country skiing,M,30km,Nikolay Zimyatov,GOLD,Lake Placid,United States,Soviet Union,RUS,
1823,1980,Cross-country skiing,M,30km,Vasily Rochev,SILVER,Lake Placid,United States,Soviet Union,RUS,
1824,1980,Cross-country skiing,M,30km,Ivan Lebanov,BRONZE,Lake Placid,United States,Bulgaria,BGR,
1825,1980,Cross-country skiing,M,50km,Nikolay Zimyatov,GOLD,Lake Placid,United States,Soviet Union,RUS,
1826,1980,Cross-country skiing,M,50km,Juha Mieto,SILVER,Lake Placid,United States,Finland,FIN,
1827,1980,Cross-country skiing,M,50km,Aleksandr Zavyalov,BRONZE,Lake Placid,United States,Soviet Union,RUS,
1828,1980,Cross-country skiing,F,4x5km Relay,Marlies Rostock,GOLD,Lake Placid,United States,East Germany,DEU,
1829,1980,Cross-country skiing,F,4x5km Relay,Carola Anding,GOLD,Lake Placid,United States,East Germany,DEU,
1830,1980,Cross-country skiing,F,4x5km Relay,Veronika Hesse-Schmidt,GOLD,Lake Placid,United States,East Germany,DEU,
1831,1980,Cross-country skiing,F,4x5km Relay,Barbara Petzold,GOLD,Lake Placid,United States,East Germany,DEU,
1832,1980,Cross-country skiing,F,4x5km Relay,Raïsa Smetanina,SILVER,Lake Placid,United States,Soviet Union,RUS,
1833,1980,Cross-country skiing,F,4x5km Relay,Nina Baldycheva,SILVER,Lake Placid,United States,Soviet Union,RUS,
1834,1980,Cross-country skiing,F,4x5km Relay,Galina Kulakova,SILVER,Lake Placid,United States,Soviet Union,RUS,
1835,1980,Cross-country skiing,F,4x5km Relay,Nina Rocheva,SILVER,Lake Placid,United States,Soviet Union,RUS,
1836,1980,Cross-country skiing,F,4x5km Relay,Marit Myrmæl,BRONZE,Lake Placid,United States,Norway,NOR,
1837,1980,Cross-country skiing,F,4x5km Relay,Anette Bøe,BRONZE,Lake Placid,United States,Norway,NOR,
1838,1980,Cross-country skiing,F,4x5km Relay,Britt Pettersen,BRONZE,Lake Placid,United States,Norway,NOR,
1839,1980,Cross-country skiing,F,4x5km Relay,Berit Aunli,BRONZE,Lake Placid,United States,Norway,NOR,
1840,1980,Cross-country skiing,M,4x10km Relay,Vasily Rochev,GOLD,Lake Placid,United States,Soviet Union,RUS,
1841,1980,Cross-country skiing,M,4x10km Relay,Nikolay Zimyatov,GOLD,Lake Placid,United States,Soviet Union,RUS,
1842,1980,Cross-country skiing,M,4x10km Relay,Nikolay Bazhukov,GOLD,Lake Placid,United States,Soviet Union,RUS,
1843,1980,Cross-country skiing,M,4x10km Relay,Yevgeny Belyaev,GOLD,Lake Placid,United States,Soviet Union,RUS,
1844,1980,Cross-country skiing,M,4x10km Relay,Ove Robert Aunli,SILVER,Lake Placid,United States,Norway,NOR,
1845,1980,Cross-country skiing,M,4x10km Relay,Per Knut Åland,SILVER,Lake Placid,United States,Norway,NOR,
1846,1980,Cross-country skiing,M,4x10km Relay,Oddvar Brå,SILVER,Lake Placid,United States,Norway,NOR,
1847,1980,Cross-country skiing,M,4x10km Relay,Lars-Erik Eriksen,SILVER,Lake Placid,United States,Norway,NOR,
1848,1980,Cross-country skiing,M,4x10km Relay,Juha Mieto,BRONZE,Lake Placid,United States,Finland,FIN,
1849,1980,Cross-country skiing,M,4x10km Relay,Harri Kirvesniemi,BRONZE,Lake Placid,United States,Finland,FIN,
1850,1980,Cross-country skiing,M,4x10km Relay,Matti Pitkänen,BRONZE,Lake Placid,United States,Finland,FIN,
1851,1980,Cross-country skiing,M,4x10km Relay,Pertti Teurajärvi,BRONZE,Lake Placid,United States,Finland,FIN,
1852,1980,Figure Skating,M,Individual,Robin Cousins,GOLD,Lake Placid,United States,Great Britain,GBR,
1853,1980,Figure Skating,M,Individual,Jan Hoffmann,SILVER,Lake Placid,United States,East Germany,DEU,
1854,1980,Figure Skating,M,Individual,Charles Tickner,BRONZE,Lake Placid,United States,United States,USA,
1855,1980,Figure Skating,F,Individual,Anett Pötzsch,GOLD,Lake Placid,United States,East Germany,DEU,
1856,1980,Figure Skating,F,Individual,Linda Fratianne,SILVER,Lake Placid,United States,United States,USA,
1857,1980,Figure Skating,F,Individual,Dagmar Lurz,BRONZE,Lake Placid,United States,West Germany,DEU,
1858,1980,Figure Skating,M,Pairs,Aleksandr Zaytsev,GOLD,Lake Placid,United States,Soviet Union,RUS,
1859,1980,Figure Skating,F,Pairs,Irina Rodnina,GOLD,Lake Placid,United States,Soviet Union,RUS,
1860,1980,Figure Skating,M,Pairs,Sergey Shakray,SILVER,Lake Placid,United States,Soviet Union,RUS,
1861,1980,Figure Skating,F,Pairs,Marina Cherkasova,SILVER,Lake Placid,United States,Soviet Union,RUS,
1862,1980,Figure Skating,M,Pairs,Uwe Bewersdorff,BRONZE,Lake Placid,United States,East Germany,DEU,
1863,1980,Figure Skating,F,Pairs,Manuela Mager,BRONZE,Lake Placid,United States,East Germany,DEU,
1864,1980,Figure Skating,M,Ice Dancing,Gennady Karponosov,GOLD,Lake Placid,United States,Soviet Union,RUS,
1865,1980,Figure Skating,F,Ice Dancing,Natalya Linichuk,GOLD,Lake Placid,United States,Soviet Union,RUS,
1866,1980,Figure Skating,M,Ice Dancing,András Sallay,SILVER,Lake Placid,United States,Hungary,HUN,
1867,1980,Figure Skating,F,Ice Dancing,Krisztina Regöczy,SILVER,Lake Placid,United States,Hungary,HUN,
1868,1980,Figure Skating,M,Ice Dancing,Andrey Minenkov,BRONZE,Lake Placid,United States,Soviet Union,RUS,
1869,1980,Figure Skating,F,Ice Dancing,Irina Moiseyeva,BRONZE,Lake Placid,United States,Soviet Union,RUS,
1870,1980,Ice Hockey,M,Ice Hockey,John Harrington,GOLD,Lake Placid,United States,United States,USA,
1871,1980,Ice Hockey,M,Ice Hockey,Mark Johnson,GOLD,Lake Placid,United States,United States,USA,
1872,1980,Ice Hockey,M,Ice Hockey,Robert McClanahan,GOLD,Lake Placid,United States,United States,USA,
1873,1980,Ice Hockey,M,Ice Hockey,Kenneth Morrow,GOLD,Lake Placid,United States,United States,USA,
1874,1980,Ice Hockey,M,Ice Hockey,John O'Callahan,GOLD,Lake Placid,United States,United States,USA,
1875,1980,Ice Hockey,M,Ice Hockey,Mark Pavelich,GOLD,Lake Placid,United States,United States,USA,
1876,1980,Ice Hockey,M,Ice Hockey,William Baker,GOLD,Lake Placid,United States,United States,USA,
1877,1980,Ice Hockey,M,Ice Hockey,Neal Broten,GOLD,Lake Placid,United States,United States,USA,
1878,1980,Ice Hockey,M,Ice Hockey,David Christian,GOLD,Lake Placid,United States,United States,USA,
1879,1980,Ice Hockey,M,Ice Hockey,Steven Christoff,GOLD,Lake Placid,United States,United States,USA,
1880,1980,Ice Hockey,M,Ice Hockey,James Craig,GOLD,Lake Placid,United States,United States,USA,
1881,1980,Ice Hockey,M,Ice Hockey,Mike Eruzione,GOLD,Lake Placid,United States,United States,USA,
1882,1980,Ice Hockey,M,Ice Hockey,Philip Verchota,GOLD,Lake Placid,United States,United States,USA,
1883,1980,Ice Hockey,M,Ice Hockey,Mark Wells,GOLD,Lake Placid,United States,United States,USA,
1884,1980,Ice Hockey,M,Ice Hockey,Mike Ramsey,GOLD,Lake Placid,United States,United States,USA,
1885,1980,Ice Hockey,M,Ice Hockey,Buzz Schneider,GOLD,Lake Placid,United States,United States,USA,
1886,1980,Ice Hockey,M,Ice Hockey,David Silk,GOLD,Lake Placid,United States,United States,USA,
1887,1980,Ice Hockey,M,Ice Hockey,Eric Strobel,GOLD,Lake Placid,United States,United States,USA,
1888,1980,Ice Hockey,M,Ice Hockey,Bob Suter,GOLD,Lake Placid,United States,United States,USA,
1889,1980,Ice Hockey,M,Ice Hockey,Vladimir Myshkin,SILVER,Lake Placid,United States,Soviet Union,RUS,
1890,1980,Ice Hockey,M,Ice Hockey,Vasily Pervukhin,SILVER,Lake Placid,United States,Soviet Union,RUS,
1891,1980,Ice Hockey,M,Ice Hockey,Vladimir Petrov,SILVER,Lake Placid,United States,Soviet Union,RUS,
1892,1980,Ice Hockey,M,Ice Hockey,Aleksandr Skvortsov,SILVER,Lake Placid,United States,Soviet Union,RUS,
1893,1980,Ice Hockey,M,Ice Hockey,Sergey Makarov,SILVER,Lake Placid,United States,Soviet Union,RUS,
1894,1980,Ice Hockey,M,Ice Hockey,Aleksandr Maltsev,SILVER,Lake Placid,United States,Soviet Union,RUS,
1895,1980,Ice Hockey,M,Ice Hockey,Boris Mikhaylov,SILVER,Lake Placid,United States,Soviet Union,RUS,
1896,1980,Ice Hockey,M,Ice Hockey,Zinetula Bilyaletdinov,SILVER,Lake Placid,United States,Soviet Union,RUS,
